player,team,opp,pos,stat,season_avg,pred,low,high,range,line,edge,signal,conf,reasoning,game,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank
Azzi Fudd,nan,Dallas Wings @ Toronto Tempo,nan,REB,2.5,2.5,-1.0,6.0,-1.0-6.0,2.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[2.0, 1.1, 4.3, 3.4, 2.5]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[3.9, 3.0, 2.1, 1.2, 0.3]",15
Chelsea Gray,nan,Indiana Fever @ Las Vegas Aces,nan,AST,7.5,7.5,4.0,11.0,4.0-11.0,7.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[8.8, 8.0, 7.0, 6.2, 9.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[7.5, 6.6, 5.8, 8.9, 8.0]",11
Chelsea Gray,nan,Indiana Fever @ Las Vegas Aces,nan,PTS,14.5,14.5,11.0,18.0,11.0-18.0,14.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[14.5, 13.6, 12.7, 15.8, 14.9]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[13.2, 12.3, 15.4, 14.5, 13.7]",11
Chelsea Gray,nan,Indiana Fever @ Las Vegas Aces,nan,PRA,0.0,26.5,23.0,30.0,23.0-30.0,26.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[25.6, 24.7, 27.9, 26.9, 26.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[24.3, 27.5, 26.6, 25.7, 24.8]",11
Chelsea Gray,nan,Indiana Fever @ Las Vegas Aces,nan,REB,4.5,4.5,1.0,8.0,1.0-8.0,4.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[3.1, 6.3, 5.4, 4.5, 3.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[5.9, 5.0, 4.1, 3.2, 2.3]",11
Chelsea Gray,nan,Indiana Fever @ Las Vegas Aces,nan,3PM,2.5,2.5,-1.0,6.0,-1.0-6.0,2.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[3.4, 2.5, 1.6, 0.7, 3.9]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[2.1, 1.2, 0.3, 3.5, 2.6]",11
Chelsea Gray,nan,Indiana Fever @ Las Vegas Aces,nan,AST,6.5,6.5,3.0,10.0,3.0-10.0,6.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[7.8, 7.0, 6.0, 5.2, 8.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[6.5, 5.6, 4.8, 7.9, 7.0]",11
Chelsea Gray,nan,Indiana Fever @ Las Vegas Aces,nan,PRA,0.0,25.5,22.0,29.0,22.0-29.0,25.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[24.6, 23.7, 26.9, 25.9, 25.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[23.3, 26.5, 25.6, 24.7, 23.8]",11
Chelsea Gray,nan,Indiana Fever @ Las Vegas Aces,nan,3PM,1.5,1.5,-2.0,5.0,-2.0-5.0,1.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[2.4, 1.5, 0.6, 0, 2.9]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[1.1, 0.2, 0, 2.5, 1.6]",11
Cheyenne Parker-Tyus,nan,Indiana Fever @ Las Vegas Aces,nan,PTS,7.5,7.5,4.0,11.0,4.0-11.0,7.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[9.3, 8.4, 7.5, 6.6, 5.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[8.0, 7.1, 6.2, 5.3, 8.4]",11
Cheyenne Parker-Tyus,nan,Indiana Fever @ Las Vegas Aces,nan,REB,4.5,4.5,1.0,8.0,1.0-8.0,4.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[5.0, 4.0, 3.1, 6.3, 5.4]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[3.6, 2.7, 5.9, 5.0, 4.1]",11
Cheyenne Parker-Tyus,nan,Indiana Fever @ Las Vegas Aces,nan,PTS,8.5,8.5,5.0,12.0,5.0-12.0,8.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[10.3, 9.4, 8.5, 7.6, 6.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[9.0, 8.1, 7.2, 6.3, 9.4]",11
Isabelle Harrison,nan,Dallas Wings @ Toronto Tempo,nan,PTS,14.5,14.5,11.0,18.0,11.0-18.0,14.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[15.8, 14.9, 14.1, 13.2, 16.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[13.7, 12.8, 15.9, 15.0, 14.1]",15
Isabelle Harrison,nan,Dallas Wings @ Toronto Tempo,nan,REB,6.5,6.5,3.0,10.0,3.0-10.0,6.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[6.5, 5.6, 4.7, 7.8, 7.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[4.3, 7.4, 6.5, 5.6, 4.8]",15
Isabelle Harrison,nan,Dallas Wings @ Toronto Tempo,nan,REB,5.5,5.5,2.0,9.0,2.0-9.0,5.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[5.5, 4.6, 3.7, 6.8, 6.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[3.3, 6.4, 5.5, 4.6, 3.7]",15
Jackie Young,nan,Indiana Fever @ Las Vegas Aces,nan,AST,6.5,6.5,3.0,10.0,3.0-10.0,6.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[7.4, 6.5, 5.6, 4.7, 7.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[6.1, 5.2, 4.3, 7.4, 6.5]",11
Jackie Young,nan,Indiana Fever @ Las Vegas Aces,nan,PTS,20.5,20.5,17.0,24.0,17.0-24.0,20.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[20.1, 19.1, 22.3, 21.4, 20.5]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[18.8, 21.9, 21.0, 20.1, 19.2]",11
Jackie Young,nan,Indiana Fever @ Las Vegas Aces,nan,PRA,0.0,32.5,29.0,36.0,29.0-36.0,32.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[31.1, 34.3, 33.4, 32.5, 31.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[33.9, 33.0, 32.1, 31.2, 30.3]",11
Jackie Young,nan,Indiana Fever @ Las Vegas Aces,nan,REB,5.5,5.5,2.0,9.0,2.0-9.0,5.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[3.7, 6.8, 6.0, 5.0, 4.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[6.4, 5.5, 4.6, 3.7, 6.9]",11
Jackie Young,nan,Indiana Fever @ Las Vegas Aces,nan,3PM,2.5,2.5,-1.0,6.0,-1.0-6.0,2.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[3.0, 2.0, 1.1, 4.3, 3.4]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[1.7, 0.8, 3.9, 3.0, 2.1]",11
Jessica Shepard,nan,Dallas Wings @ Toronto Tempo,nan,AST,5.5,5.5,2.0,9.0,2.0-9.0,5.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[5.5, 4.6, 3.7, 6.8, 6.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[3.3, 6.4, 5.5, 4.6, 3.7]",15
Jessica Shepard,nan,Dallas Wings @ Toronto Tempo,nan,PTS,13.5,13.5,10.0,17.0,10.0-17.0,13.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[12.2, 15.3, 14.4, 13.5, 12.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[14.0, 13.1, 12.2, 11.3, 14.4]",15
Jessica Shepard,nan,Dallas Wings @ Toronto Tempo,nan,PRA,0.0,31.5,28.0,35.0,28.0-35.0,31.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[33.3, 32.4, 31.5, 30.6, 29.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[31.1, 30.2, 29.3, 32.5, 31.6]",15
Jessica Shepard,nan,Dallas Wings @ Toronto Tempo,nan,REB,11.5,11.5,8.0,15.0,8.0-15.0,11.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[12.8, 11.9, 11.1, 10.2, 13.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[10.7, 9.8, 12.9, 12.0, 11.1]",15
Jessica Shepard,nan,Dallas Wings @ Toronto Tempo,nan,AST,4.5,4.5,1.0,8.0,1.0-8.0,4.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[4.5, 3.6, 2.7, 5.8, 5.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[2.3, 5.4, 4.5, 3.6, 2.7]",15
Jessica Shepard,nan,Dallas Wings @ Toronto Tempo,nan,PTS,14.5,14.5,11.0,18.0,11.0-18.0,14.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[13.2, 16.3, 15.4, 14.5, 13.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[15.0, 14.1, 13.2, 12.3, 15.4]",15
Jewell Loyd,nan,Indiana Fever @ Las Vegas Aces,nan,PTS,10.5,10.5,7.0,14.0,7.0-14.0,10.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[12.3, 11.4, 10.5, 9.6, 8.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[11.0, 10.1, 9.2, 8.3, 11.4]",11
Jewell Loyd,nan,Indiana Fever @ Las Vegas Aces,nan,REB,3.5,3.5,0.0,7.0,0.0-7.0,3.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[4.0, 3.0, 2.1, 5.3, 4.4]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[2.6, 1.8, 4.9, 4.0, 3.1]",11
Jewell Loyd,nan,Indiana Fever @ Las Vegas Aces,nan,3PM,1.5,1.5,-2.0,5.0,-2.0-5.0,1.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[0.1, 3.3, 2.4, 1.5, 0.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[2.9, 2.0, 1.1, 0.2, 0]",11
Jewell Loyd,nan,Indiana Fever @ Las Vegas Aces,nan,3PM,2.5,2.5,-1.0,6.0,-1.0-6.0,2.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[1.1, 4.3, 3.4, 2.5, 1.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[3.9, 3.0, 2.1, 1.2, 0.3]",11
Julie Allemand,nan,Dallas Wings @ Toronto Tempo,nan,AST,5.5,5.5,2.0,9.0,2.0-9.0,5.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[6.8, 6.0, 5.0, 4.2, 7.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[4.6, 3.7, 6.9, 6.0, 5.1]",15
Julie Allemand,nan,Dallas Wings @ Toronto Tempo,nan,PTS,6.5,6.5,3.0,10.0,3.0-10.0,6.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[6.5, 5.6, 4.7, 7.8, 7.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[4.3, 7.4, 6.5, 5.6, 4.8]",15
Julie Allemand,nan,Dallas Wings @ Toronto Tempo,nan,PRA,0.0,15.5,12.0,19.0,12.0-19.0,15.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[14.6, 13.7, 16.9, 15.9, 15.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[16.4, 15.5, 14.7, 13.8, 16.9]",15
Julie Allemand,nan,Dallas Wings @ Toronto Tempo,nan,REB,2.5,2.5,-1.0,6.0,-1.0-6.0,2.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[1.1, 4.3, 3.4, 2.5, 1.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[3.0, 2.1, 1.2, 0.3, 3.5]",15
Julie Allemand,nan,Dallas Wings @ Toronto Tempo,nan,PRA,0.0,16.5,13.0,20.0,13.0-20.0,16.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Dallas Wings @ Toronto Tempo,"[15.6, 14.7, 17.9, 16.9, 16.1]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[17.5, 16.6, 15.7, 14.8, 17.9]",15
Kelsey Mitchell,nan,Indiana Fever @ Las Vegas Aces,nan,AST,3.5,3.5,0.0,7.0,0.0-7.0,3.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[5.3, 4.4, 3.5, 2.6, 1.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[4.0, 3.1, 2.2, 1.3, 4.5]",11
Kelsey Mitchell,nan,Indiana Fever @ Las Vegas Aces,nan,PTS,23.5,23.5,20.0,27.0,20.0-27.0,23.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[23.9, 23.1, 22.1, 25.3, 24.4]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[22.7, 21.8, 24.9, 24.0, 23.1]",11
Kelsey Mitchell,nan,Indiana Fever @ Las Vegas Aces,nan,PRA,0.0,29.5,26.0,33.0,26.0-33.0,29.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[29.1, 28.1, 31.3, 30.4, 29.5]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[27.8, 30.9, 30.0, 29.1, 28.2]",11
Kelsey Mitchell,nan,Indiana Fever @ Las Vegas Aces,nan,3PM,2.5,2.5,-1.0,6.0,-1.0-6.0,2.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[3.9, 3.0, 2.0, 1.1, 4.3]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[2.6, 1.7, 0.8, 3.9, 3.0]",11
Kelsey Mitchell,nan,Indiana Fever @ Las Vegas Aces,nan,REB,2.5,2.5,-1.0,6.0,-1.0-6.0,2.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[1.6, 0.7, 3.9, 3.0, 2.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[0.3, 3.5, 2.6, 1.7, 0.8]",11
Lexie Hull,nan,Indiana Fever @ Las Vegas Aces,nan,PTS,8.5,8.5,5.0,12.0,5.0-12.0,8.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[8.9, 8.1, 7.2, 10.3, 9.4]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[7.6, 6.8, 9.9, 9.0, 8.1]",11
Lexie Hull,nan,Indiana Fever @ Las Vegas Aces,nan,REB,3.5,3.5,0.0,7.0,0.0-7.0,3.5,0.0,,LOW,No player baseline found yet; market line used as neutral placeholder.,nan vs Indiana Fever @ Las Vegas Aces,"[2.6, 1.7, 4.8, 4.0, 3.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",0.0,0.0,"[1.3, 4.5, 3.6, 2.6, 1.8]",11
